code,basin,area_km2,lon,lat,val_start,val_end,train_start,train_end,test_start,test_end,level_mean
A317,Abetxuko,662.05,52.7052,47.46824,9/3/2010 0:00,9/30/2012 23:00,10/1/2012 0:00,9/30/2015 23:00,10/1/2015 0:00,7/14/2019 23:00,no
C0B1,Abusu,1002.75,50.701,47.88081,10/1/2000 0:00,9/30/2005 23:00,10/1/2005 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,yes
C0E5,Agauntza,70.38,56.7111,47.63165,10/1/2000 0:00,9/30/2005 23:00,10/1/2005 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,yes
C0DB,Aitzu,56.52,55.5086,47.73488,10/1/2000 0:00,9/30/2005 23:00,10/1/2005 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,no
C0D3,Aixola,4.75,54.0536,47.77916,10/1/2000 0:00,9/30/2005 23:00,10/1/2005 0:00,9/30/2015 23:00,10/1/2015 0:00,10/1/2019 0:00,no
C0DD,Aizarnazabal,272.83,56.15,47.89237,10/1/2000 0:00,9/30/2005 23:00,10/1/2005 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,no
C0E9,Alegia,330.12,57.3047,47.72479,10/1/2000 0:00,9/30/2005 23:00,10/1/2005 0:00,9/30/2015 23:00,10/1/2015 0:00,10/1/2020 23:00,yes
A314,Alegria,179.16,53.8895,47.43463,4/30/2010 14:00,9/30/2012 23:00,10/1/2012 0:00,9/30/2015 23:00,10/1/2015 0:00,2/7/2021 11:00,yes
C078,Altzola,462.92,54.8867,47.87631,10/1/2000 0:00,9/30/2005 23:00,10/1/2005 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,no
C079,Amorebieta,236.42,52.1547,47.86638,10/1/2000 0:00,9/30/2005 23:00,10/1/2005 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,yes
C080,Anarbe,46.89,59.3537,47.86631,10/1/2000 0:00,9/30/2005 23:00,10/1/2005 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,no
C0E8,Araxes,99.73,56.7033,47.62906,1/5/2011 15:00,9/30/2012 23:00,10/1/2012 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,yes
C0C5,Arenao,85.85,48.8083,47.85613,5/26/2005 13:00,9/30/2007 23:00,10/1/2007 0:00,9/30/2015 23:00,10/1/2015 0:00,9/1/2020 23:00,yes
C032,Areta,196.65,50.5281,47.76059,4/1/2013 0:00,9/30/2014 23:00,10/1/2014 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,yes
C0C2,Balmaseda,196.12,48.2308,47.80505,10/1/2000 0:00,9/30/2005 23:00,10/1/2005 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,yes
C085,Eibar,50.17,54.1731,47.78679,12/1/2013 0:00,9/30/2014 23:00,10/1/2014 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,yes
C074,Elorrio,29.45,53.5914,47.75188,1/1/2001 0:00,9/30/2005 23:00,10/1/2005 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,yes
C0F0,Erenozu,215.82,58.6314,47.88243,10/1/2000 0:00,9/30/2005 23:00,10/1/2005 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,no
C0E7,Estanda,54.74,56.3701,47.66917,10/1/2000 0:00,9/30/2005 23:00,10/1/2005 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,yes
C0AA,Etura,110.09,54.0549,47.48262,12/1/2012 0:00,9/30/2013 23:00,10/1/2013 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,yes
C067,Gardea,188.61,50.1592,47.74734,10/1/2000 0:00,9/30/2005 23:00,10/1/2005 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,yes
C005,Gatika,143.62,51.6047,47.98816,12/1/2013 0:00,9/30/2014 23:00,10/1/2014 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,yes
C0C4,Herrerias,255.19,48.7363,47.82476,10/1/2000 0:00,9/30/2005 23:00,10/1/2005 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,yes
C0DC,Ibaieder,65.64,56.0477,47.80317,10/1/2000 0:00,9/30/2005 23:00,10/1/2005 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,no
C083,Jaizubia,17.69,59.4799,47.97442,4/1/2013 0:00,9/30/2014 23:00,10/1/2014 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,yes
C0B8,Larrainazubi,30.24,49.9725,47.9943,4/1/2013 0:00,9/30/2014 23:00,10/1/2014 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,yes
C0EC,Lasarte,798.18,57.9571,47.89327,10/1/2000 0:00,9/30/2005 23:00,10/1/2005 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,yes
C077,Leitzaran,119.41,58.0084,47.84631,10/1/2000 0:00,9/30/2005 23:00,10/1/2005 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,no
C006,Markina,33.93,54.0927,47.89296,12/1/2013 0:00,9/30/2014 23:00,10/1/2014 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,yes
C063,Muxika,31.39,52.5219,47.92824,10/1/2000 0:00,9/30/2005 23:00,10/1/2005 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,yes
C0F4,Oiartzun,56.05,59.0462,47.95486,10/1/2000 0:00,9/30/2005 23:00,10/1/2005 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2020 23:00,no
C0D1,Onati,99.26,54.5798,47.67651,10/1/2000 0:00,9/30/2005 23:00,10/1/2005 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,yes
C054,Otxandio,37.85,52.8001,47.65557,1/1/2003 0:00,9/30/2005 23:00,10/1/2005 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,yes
C055,Ozaeta,86.51,54.1375,47.5107,4/1/2014 0:00,9/30/2014 23:00,10/1/2014 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,yes
C0B9,Sangroniz,46.43,50.5608,47.92707,6/6/2005 13:00,9/30/2007 23:00,10/1/2007 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,yes
C0D2,SanPrudentzio,122.38,54.497,47.69996,10/1/2000 0:00,9/30/2005 23:00,10/1/2005 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,yes
C051,Saratxo,87.45,49.9678,47.64383,10/1/2000 0:00,9/30/2005 23:00,10/1/2005 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,yes
C0C3,Sodupe,276.53,49.55,47.83,2/22/2001 17:00,9/30/2005 23:00,10/1/2005 0:00,9/30/2015 23:00,10/1/2015 0:00,4/1/2021 23:00,yes
C0B3,Urkizu,125.58,52.2108,47.76721,10/1/2000 0:00,9/30/2005 23:00,10/1/2005 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,yes
C0B2,Zaratamo,513.46,50.9811,47.85026,1/1/2003 0:00,9/30/2005 23:00,10/1/2005 0:00,9/30/2015 23:00,10/1/2015 0:00,9/30/2021 23:00,yes
