basin,trial,reservoir_size,washout,spectral_radius,leaking_rate,ridge_alpha,input_scaling,rc_connectivity,ema_alpha,add_bias,clamp_nonneg,nse_val,kge_val,score,loss,elapsed_sec
Abusu,0,1279,100,0.3366036480886773,0.017588978144333526,4.3144071379138525e-06,0.9848627356815316,0.1195074889872578,0.4267724885895823,True,True,0.7797951418623272,0.8410991896836166,0.8104471657729719,-0.8104471657729719,29.60479235649109
Abusu,1,700,117,0.47156422599363357,0.08614896363949122,6.481096423380034e-06,1.493292390967454,0.19975189820682188,0.33684743051144944,True,True,0.7590759255193372,0.7903449477264551,0.7747104366228962,-0.7747104366228962,15.730648756027222
Abusu,2,911,124,0.5908172896109463,0.0027185051075956936,3.678223596662104e-06,0.8684711679456049,0.12643027614524524,0.16572952575306502,True,True,0.6515373747567113,0.682713712690249,0.6671255437234802,-0.6671255437234802,17.7056827545166
Abusu,3,1522,223,0.8318455111140692,0.012374333680755913,4.920644309401385e-05,1.0785117728162494,0.31950851074049463,0.1597956170160512,True,True,0.8073193203749266,0.8772255756367209,0.8422724480058237,-0.8422724480058237,102.36757349967957
Abusu,4,890,71,0.33822334294959916,0.06404640944632159,1.5750197420018762e-06,1.0394910505641715,0.07421757411973334,0.44494217723123763,True,True,0.7885456167570499,0.819511025382714,0.804028321069882,-0.804028321069882,13.089221000671387
Abusu,5,1647,208,0.37530860134148003,0.00300238220731033,1.7319609983922125e-06,1.0806398762780036,0.2495381295139209,0.2181280348371241,True,True,0.6776869802520216,0.70982452758627,0.6937557539191458,-0.6937557539191458,93.96148610115051
Abusu,6,1616,248,0.6201362564420602,0.0015827475671238564,0.00029163139229431643,1.011922804035708,0.3769124886126691,0.4493104172322908,True,True,0.58846513147056,0.6754999695474155,0.6319825505089878,-0.6319825505089878,140.00750470161438
Abusu,7,1692,169,0.3204201987228757,0.005110507759166054,0.0005070651577020313,0.8806837268797117,0.09954290780300391,0.2970364378609692,True,True,0.7233320476464193,0.7875962446397725,0.755464146143096,-0.755464146143096,42.911147117614746
Abusu,8,1213,100,0.4929508602616546,0.0016733973029439916,9.265148093075822e-05,1.3888136587226025,0.3614584270913878,0.3945426908201336,True,True,0.5859696542719162,0.6750793790323326,0.6305245166521244,-0.6305245166521244,69.7727108001709
Abusu,9,1291,221,0.8213845060470119,0.003672963850799348,0.00022003169825682094,1.1133812949145832,0.3209997978640274,0.4059661511180066,True,True,0.6968094784698484,0.7245367072040673,0.7106730928369578,-0.7106730928369578,70.48840832710266
Abusu,10,1728,202,0.7327318355314756,0.0012858753207310135,3.568335350571403e-08,0.9210623421771078,0.298878582202245,0.4467241854352072,True,True,-69.4321605233639,-10.653764823371537,-40.04296267336772,40.04296267336772,126.42112684249878
Abusu,11,1220,128,0.5034429680528676,0.07140528608087103,1.4578230477946361e-08,1.068145629692768,0.05477796238479495,0.10722760805961325,True,True,0.5398940885059479,0.6853458029321593,0.6126199457190535,-0.6126199457190535,17.46894145011902
Abusu,12,1399,198,0.5318536808969022,0.07251855869640816,2.2416354411821802e-06,1.3614356694693275,0.09958400273026732,0.32436908850289325,True,True,0.6806658909305272,0.7280447512443966,0.7043553210874619,-0.7043553210874619,30.378183841705322
Abusu,13,1688,150,0.5311419160942301,0.03756600725191656,3.2553523742810413e-06,1.4846722509848824,0.2951446239976262,0.3394201404702635,True,True,0.74797110017635,0.7910825668104765,0.7695268334934133,-0.7695268334934133,127.78481411933899
Abusu,14,1627,208,0.8995005499064002,0.023781145286794418,1.6506698658277504e-06,1.2013603657659968,0.1260887306330296,0.13113035328365175,True,True,0.762410986182326,0.829912809419452,0.796161897800889,-0.796161897800889,49.0891809463501
Abusu,15,1735,157,0.41290863450488163,0.031416714315592086,9.387836796004141e-07,1.1621889314118674,0.2633219706255419,0.3081320906282805,True,True,0.7387331502820902,0.7781012746902328,0.7584172124861615,-0.7584172124861615,112.59112787246704
Abusu,16,704,118,0.30625250890770406,0.005167422708331403,0.0002956373583271663,1.0104064901300296,0.09327517756681383,0.3014255472290983,True,True,0.7226450337506856,0.7910002503155242,0.7568226420331049,-0.7568226420331049,11.190545797348022
Abusu,17,777,71,0.6669689775720055,0.021140759964121396,0.00042958580360473496,0.8204130507430181,0.2618365225946043,0.43725181390834766,True,True,0.8115958121657789,0.8679782091675815,0.8397870106666803,-0.8397870106666803,22.501652002334595
Abusu,18,794,155,0.4816441766873465,0.004694245000104477,2.2368525763441949e-07,1.3214749936790453,0.1760846164337223,0.4149621451331986,True,True,0.7419836942860347,0.7375098253303441,0.7397467598081895,-0.7397467598081895,17.851824522018433
Abusu,19,714,142,0.5861906953150869,0.07802562372827627,1.2758874651682695e-06,1.4710894524234497,0.09228915849767069,0.25818382020824493,True,True,0.7448491644755886,0.7775700760073669,0.7612096202414778,-0.7612096202414778,10.8736572265625
Abusu,20,901,183,0.9129603408734038,0.08479592161767172,0.00023248473020318978,1.109548506057756,0.10453313274270351,0.3234821644772026,True,True,0.8051014822802742,0.8166267210691355,0.8108641016747049,-0.8108641016747049,16.068691968917847
