basin,trial,reservoir_size,washout,spectral_radius,leaking_rate,ridge_alpha,input_scaling,rc_connectivity,ema_alpha,add_bias,clamp_nonneg,nse_val,kge_val,score,loss,elapsed_sec
Aixola,0,701,77,0.3570140130803655,0.012527171945774233,2.9629981076247304e-08,1.2559387048990356,0.3081951120658388,0.2696632024774234,True,True,0.5857393919692063,0.5397297033328449,0.5627345476510256,-0.5627345476510256,21.3846595287323
Aixola,1,1230,150,0.9083152500184439,0.011751267803596945,6.439638021933684e-06,0.7230824696609639,0.2593164238158045,0.1645028895506495,True,True,0.5268898881445804,0.5034481744226702,0.5151690312836252,-0.5151690312836252,52.37957429885864
Aixola,2,1637,70,0.581388243130064,0.009925268346051024,0.000270653637818601,1.031148769122022,0.07205964772246026,0.3011547012031066,True,True,0.5437954848620734,0.5184294554173611,0.5311124701397172,-0.5311124701397172,33.73114013671875
Aixola,3,919,122,0.7970530196235216,0.011692754380744757,3.720445256838043e-06,1.4774708330890078,0.16580047907970213,0.2735064851023941,True,True,0.5304002222103352,0.5228392217380844,0.5266197219742098,-0.5266197219742098,20.957849264144897
Aixola,4,748,242,0.34149607473727106,0.008623100354218496,4.126993151026879e-06,0.8609174603411589,0.2590335989966623,0.17016305166897855,True,True,0.5033589816495236,0.4941421664080504,0.49875057402878703,-0.49875057402878703,20.447213888168335
Aixola,5,963,246,0.6023502622359467,0.0027846688437531126,0.0005564491508006921,1.2550835546750383,0.3582208382548389,0.2866453712726793,True,True,0.48047802156585084,0.46628413884217257,0.4733810802040117,-0.4733810802040117,42.2066752910614
Aixola,6,888,113,0.9743071032125977,0.005866712718136922,3.1597160904089675e-08,0.9056564262382688,0.06425197878729783,0.438147423106781,True,True,-1.133681829588388,0.1152514769966575,-0.5092151762958652,0.5092151762958652,11.665627479553223
Aixola,7,1421,151,0.30743540689298376,0.07461517002292152,1.1446769073991018e-06,0.8554619348243684,0.38489275776093507,0.1745031409321688,True,True,0.570658434516909,0.6118784676356412,0.5912684510762751,-0.5912684510762751,116.50874400138855
Aixola,8,817,229,0.39762680210423024,0.0022582001880612403,4.4062173776484575e-07,1.1565794007706272,0.23389152149576853,0.32695027203318705,True,True,0.43216686880447286,0.43329558490685716,0.432731226855665,-0.432731226855665,24.170963287353516
Aixola,9,1549,101,0.9814612665860546,0.0011643195536228525,7.703812137531154e-07,1.1063335870929072,0.18131636897935227,0.34347229827118086,True,True,-46.67423492781724,-5.466599298968594,-26.070417113392917,26.070417113392917,66.20417356491089
Aixola,10,1672,233,0.7636294418411156,0.00813421534547367,1.7511219392243925e-08,0.9070218061754758,0.23472041811426486,0.20465261784759284,True,True,0.17355176654407356,0.4647550578896592,0.3191534122168664,-0.3191534122168664,97.68581509590149
Aixola,11,1053,75,0.5708092128212565,0.056112863037654434,0.00025529104789227293,1.4893022042603228,0.19670662550416879,0.11050184217193387,True,True,0.5766688075634671,0.5874533620331308,0.582061084798299,-0.582061084798299,30.269537210464478
Aixola,12,1320,92,0.3645855682973305,0.004888101688013969,9.006089164790651e-07,1.3416243766301739,0.05102761942840067,0.3514642099074572,True,True,0.519978050258034,0.4743210384602543,0.49714954435914416,-0.49714954435914416,18.127238988876343
Aixola,13,902,181,0.35436525949685205,0.005122463960518872,0.00044005385397653986,1.26584236774052,0.14964685470156874,0.3708681508902313,True,True,0.5107185576763567,0.49422367703529224,0.5024711173558245,-0.5024711173558245,19.2298264503479
Aixola,14,1548,234,0.7942004215706959,0.06851523207753911,0.00012046944837941772,1.095169570952981,0.32378781642926774,0.384013637459381,True,True,0.6428079049903559,0.6332701598814972,0.6380390324359265,-0.6380390324359265,109.74520564079285
Aixola,15,1108,92,0.598527500568456,0.03320481265584025,1.005109168111148e-07,1.0907213879875046,0.3249106594738575,0.34303744258165475,True,True,0.6369145538903412,0.597319364057443,0.6171169589738921,-0.6171169589738921,52.0037956237793
Aixola,16,958,76,0.3404814189600701,0.0012655584377331915,0.00013227093240529922,1.471146356024877,0.1985407125443145,0.35811696580347097,True,True,0.3923966398269588,0.38637631190685384,0.38938647586690633,-0.38938647586690633,25.313933610916138
