basin,trial,reservoir_size,washout,spectral_radius,leaking_rate,ridge_alpha,input_scaling,rc_connectivity,ema_alpha,add_bias,clamp_nonneg,nse_val,kge_val,score,loss,elapsed_sec
Balmaseda,0,774,131,0.5320287131637781,0.004973562176966358,2.3472487499090792e-07,0.8617800517615013,0.19458645393161922,0.22244422589682414,True,True,0.35186413465837774,0.35993829956764223,0.35590121711301,-0.35590121711301,17.61901617050171
Balmaseda,1,859,112,0.44476398485929686,0.02928298202849875,2.393738675463384e-07,1.0449119068677781,0.3134708090083891,0.21196294129662116,True,True,0.4306468765580367,0.47488196271185934,0.452764419634948,-0.452764419634948,29.6418936252594
Balmaseda,2,1782,177,0.9156460323546125,0.09626506232767558,3.7098587403252255e-07,1.3152140837858084,0.24123232918614113,0.22480313176176972,True,True,0.4336711868066915,0.5160374228291165,0.47485430481790397,-0.47485430481790397,102.8517837524414
Balmaseda,3,1272,198,0.36319538414025637,0.03160612663186267,5.95050240108102e-07,0.70250065422209,0.2710057180259958,0.4436310109873851,True,True,0.4384300036387351,0.48159357586183993,0.4600117897502875,-0.4600117897502875,55.66794419288635
Balmaseda,4,1697,182,0.972469681402098,0.009170586156315948,1.967450376688258e-08,0.9446132125332882,0.35815015516944027,0.39032025031224504,True,True,-20.611627627225513,-4.790593390064847,-12.70111050864518,12.70111050864518,138.62180376052856
Balmaseda,5,1539,79,0.7625423464449314,0.0776671194233916,1.0609530721271451e-05,0.8188739383855563,0.08755611267357126,0.27580358784067377,True,True,0.4078828833595243,0.48418442688558294,0.4460336551225536,-0.4460336551225536,31.967498779296875
Balmaseda,6,1071,119,0.4309187511556125,0.018996482620420387,2.061237067438179e-06,1.1007033299394986,0.24607745810737952,0.3053955412098604,True,True,0.46833245900837295,0.5049146522974477,0.4866235556529103,-0.4866235556529103,36.75070285797119
Balmaseda,7,1042,119,0.47566106498951716,0.05842815075798657,2.667798069784041e-07,0.7932974284206917,0.37134777327363155,0.29370169982507766,True,True,0.4275079256108635,0.48771195991339833,0.4576099427621309,-0.4576099427621309,49.97332167625427
Balmaseda,8,1297,243,0.7668200126099063,0.08172843312580656,2.0085112149224362e-08,1.2330311717888724,0.07058693230554511,0.43587364523696503,True,True,0.3390148986380158,0.4452884581397679,0.39215167838889187,-0.39215167838889187,21.28635835647583
Balmaseda,9,1574,71,0.870296676737234,0.0010054397489048985,1.196822714301597e-06,1.1626506202226445,0.12005802977240827,0.4003165197796832,True,True,-127.44417658577817,-14.89477150899988,-71.16947404738902,71.16947404738902,42.57420539855957
Balmaseda,10,886,97,0.5489791923185282,0.03700477390956526,7.294361708577437e-06,0.8959873738191481,0.3021551117362642,0.42143948045493274,True,True,0.43734607187341445,0.4900949412251032,0.46372050654925884,-0.46372050654925884,30.45853090286255
Balmaseda,11,1438,199,0.5982451239854707,0.008663896082494037,7.733185418173425e-08,0.9295470199909353,0.24509224037250638,0.2876708908293274,True,True,0.40498448390248487,0.40904379452080475,0.4070141392116448,-0.4070141392116448,65.15849995613098
Balmaseda,12,1326,210,0.5346633094660482,0.0018873710099083245,1.3254664685051606e-05,0.7305368934795745,0.09338818348903828,0.35430442124161443,True,True,0.3394183120209412,0.2794691942470454,0.3094437531339933,-0.3094437531339933,25.796946048736572
Balmaseda,13,1140,62,0.34678326388846636,0.04773939290847805,4.0993260411176896e-08,1.4889280070998234,0.23036148152438085,0.38434230591947993,True,True,0.39758784486039467,0.5056581851202903,0.45162301499034246,-0.45162301499034246,39.33976984024048
Balmaseda,14,856,118,0.772695687180799,0.010278735912041344,1.955419096303597e-07,0.7413708866637164,0.08263138483881706,0.10655047791305125,True,True,0.40774603955754884,0.46974175148149244,0.43874389551952064,-0.43874389551952064,12.561069011688232
Balmaseda,15,1104,207,0.745355166808283,0.0021996833606955056,9.863683434651603e-05,1.4180598923115542,0.24726238667132144,0.44869283716304853,True,True,0.2585854715942003,0.39660359605628204,0.3275945338252412,-0.3275945338252412,39.23685550689697
Balmaseda,16,825,186,0.5353245761398046,0.012255054367319673,2.935824656147777e-06,1.1810975345692087,0.07207255930568472,0.10708147547735705,True,True,0.43557515811043646,0.48624258934167197,0.4609088737260542,-0.4609088737260542,11.197365045547485
Balmaseda,17,939,108,0.47559216587385406,0.0013951758264499662,5.399011094868048e-06,1.3251987183108749,0.1358139660567338,0.16937664722357978,True,True,0.25290686086042424,0.325182072718602,0.2890444667895131,-0.2890444667895131,18.84205675125122
Balmaseda,18,1126,67,0.5761010486807153,0.02486080444401655,3.3315261021487295e-06,0.7695717610677493,0.18884954152347377,0.19960981853391147,True,True,0.45943409641712096,0.501160974040757,0.480297535228939,-0.480297535228939,32.27052187919617
Balmaseda,19,1165,152,0.6623070409870097,0.0022358418814899003,4.813668807323485e-07,1.3015188864652614,0.29226358123561935,0.3710025897477537,True,True,-1.6415805817124967,-1.1085603920970288,-1.3750704869047627,1.3750704869047627,49.27198791503906
Balmaseda,20,771,146,0.4643259217800112,0.002439478268565198,4.176622621000257e-05,1.353708331575975,0.18034085760295288,0.17435508387235876,True,True,0.3548388532341815,0.3861302776236806,0.37048456542893105,-0.37048456542893105,16.68206524848938
Balmaseda,21,995,146,0.4057321392333981,0.002289175936556746,1.228113739186351e-06,1.1656675775156295,0.3092582998192757,0.2258371817807587,True,True,0.26323647567626596,0.2643112449544729,0.2637738603153694,-0.2637738603153694,38.37783360481262
Balmaseda,22,786,117,0.7226636043538938,0.007841832744651375,3.818335370636908e-07,1.4756549527343967,0.20293823460872173,0.3695366550896686,True,True,0.2773474458992141,0.348419824133948,0.31288363501658106,-0.31288363501658106,18.703105926513672
Balmaseda,23,1179,196,0.7069286611000062,0.017171462143339675,1.6809333090211264e-08,0.9414912023670063,0.22286630590728257,0.1317139805483601,True,True,0.3721175516644808,0.41264088982194813,0.39237922074321446,-0.39237922074321446,39.82204580307007
Balmaseda,24,847,182,0.4091298805200613,0.01860007994509778,1.907499496823717e-05,1.498721722813964,0.3549503644847938,0.27527930071765083,True,True,0.4718852306757806,0.4918597030000609,0.48187246683792073,-0.48187246683792073,31.75591015815735
Balmaseda,25,1639,144,0.9257870541082904,0.023236874962579205,4.938888831681353e-07,1.112281719910815,0.11151842243526038,0.35376818840092106,True,True,0.29538512851201804,0.4086963770081937,0.3520407527601059,-0.3520407527601059,43.05195140838623
Balmaseda,26,1701,63,0.7471853265666102,0.005494390653976261,1.0771564671056987e-06,1.4031063994192368,0.10832147948885856,0.2662110410092278,True,True,0.1392435652306142,0.367565236036405,0.2534044006335096,-0.2534044006335096,46.55733251571655
Balmaseda,27,1721,191,0.4319690900170654,0.01964984298939453,0.00012839311218458123,1.03705124167231,0.062213831670876185,0.19409378005514158,True,True,0.4518833884494501,0.48778672404317625,0.46983505624631317,-0.46983505624631317,31.65910506248474
Balmaseda,28,770,85,0.4053320690869019,0.01917613374933466,8.468196593923878e-08,1.047055889812369,0.2576045070826609,0.3597534230209659,True,True,0.46498403884967354,0.516437575469202,0.49071080715943777,-0.49071080715943777,21.164320707321167
Balmaseda,29,894,75,0.4199361164183763,0.002160364081033829,1.4756344992145744e-07,1.0796247804364196,0.05914348981550555,0.3659441448077635,True,True,0.21201539862270025,0.19128691059260572,0.20165115460765298,-0.20165115460765298,11.59667682647705
Balmaseda,30,1631,199,0.6114593314317815,0.0022755949898446994,0.0006400858987296808,1.4714262583397166,0.33772203884146795,0.1414653024369527,True,True,0.3270876590899834,0.33245401469295277,0.3297708368914681,-0.3297708368914681,119.71104288101196
Balmaseda,31,1547,61,0.45654419477338415,0.0011171222056814713,1.3109054770338105e-08,1.022515488523657,0.29339129052174967,0.25048638078773094,True,True,-2.3611371145726987,-1.0091316167584266,-1.6851343656655626,1.6851343656655626,90.92918562889099
Balmaseda,32,744,200,0.4353399685678635,0.0018715636487983006,1.2121039709752536e-08,1.229507797045406,0.26119741750430236,0.21416227288637052,True,True,-1.138375615419573,-0.6231249364047868,-0.8807502759121799,0.8807502759121799,20.263588905334473
Balmaseda,33,862,129,0.6500689463155254,0.010547261365794404,5.965795527370597e-05,1.4165289010600388,0.20355991643064053,0.4458239482914609,True,True,0.46849025388685495,0.47444464212582493,0.47146744800633994,-0.47146744800633994,21.725299835205078
Balmaseda,34,1133,185,0.32237863672620065,0.012054461723174002,7.66448109049222e-08,0.7927205948459309,0.11625104405276863,0.39427231320389333,True,True,0.45469555988692234,0.4613929873018915,0.4580442735944069,-0.4580442735944069,22.988965034484863
Balmaseda,35,1718,81,0.4687378607052023,0.0010015491846367911,0.00010189826865423805,1.4978124632991212,0.11699494926564705,0.14056438527131987,True,True,0.1780041339536581,0.19297679866897555,0.18549046631131683,-0.18549046631131683,48.892069816589355
Balmaseda,36,851,237,0.3198159273467406,0.0013357439174813675,0.00043041307178076757,1.1564255029798984,0.09929564010520159,0.3073783882637214,True,True,0.30738260685247587,0.28451739622518435,0.2959500015388301,-0.2959500015388301,13.642210960388184
Balmaseda,37,1735,179,0.9923389259869274,0.0028708463814072485,3.799756718740447e-06,1.2631676801376366,0.27706874084304567,0.1600458522625586,True,True,-26.7832710164031,-6.40548539877043,-16.594378207586765,16.594378207586765,110.14887547492981
Balmaseda,38,885,215,0.31996749754669557,0.05127216426169511,3.407066822802817e-08,0.9171725502628285,0.11837776283678801,0.18395399305600685,True,True,0.40465569040979754,0.47538324828352896,0.44001946934666325,-0.44001946934666325,15.960545539855957
Balmaseda,39,1504,243,0.7476190375529835,0.0019539368907030646,1.0715830072872098e-08,1.4052637765074651,0.2915558153882616,0.36810112456397504,True,True,-270.7830450400385,-23.746542090480073,-147.26479356525928,147.26479356525928,87.33151841163635
