basin,trial,reservoir_size,washout,spectral_radius,leaking_rate,ridge_alpha,input_scaling,rc_connectivity,ema_alpha,add_bias,clamp_nonneg,nse_val,kge_val,score,loss,elapsed_sec
Muxika,0,939,187,0.6846585419868573,0.009534398994894736,4.555252196543552e-05,1.4448307082713772,0.2981262590642747,0.3002345453903884,True,True,0.5274155375400211,0.6215841763818178,0.5744998569609194,-0.5744998569609194,33.659154653549194
Muxika,1,1660,210,0.32542419787833465,0.05292054349559474,1.0355774814916447e-05,1.4635908815377396,0.21658265632746965,0.41859798640178103,True,True,0.528546833375185,0.6612793998725381,0.5949131166238616,-0.5949131166238616,79.61896657943726
Muxika,2,1772,227,0.9898245710569193,0.07301967760826851,1.2880897381849326e-07,1.4917738867080066,0.15002721524948473,0.2784775025229783,True,True,0.4380638235003118,0.6052286642113074,0.5216462438558096,-0.5216462438558096,63.93607568740845
Muxika,3,1437,81,0.5589388344847908,0.017006207428965484,0.000797950520405304,1.1073635997996605,0.11547864991688524,0.29011992155421795,True,True,0.5605240837067008,0.6569323992402092,0.608728241473455,-0.608728241473455,35.146113872528076
Muxika,4,1417,108,0.5124280406807639,0.01255983061085943,0.00015670436006826505,0.7933848151883144,0.2528229426304857,0.14068785877621828,True,True,0.4787873241896773,0.5946598883088463,0.5367236062492617,-0.5367236062492617,65.86055374145508
Muxika,5,1781,68,0.8221379312331152,0.0034161773636488288,4.180516312674384e-06,1.4399376815696527,0.3605566426723074,0.2959435554092744,True,True,-2.5149475003340482,-1.562569732658142,-2.038758616496095,2.038758616496095,156.32414627075195
Muxika,6,961,163,0.9411016341064575,0.0013296401990682389,0.0008214632806123387,1.0052698471405679,0.25465097923203506,0.2377051051364629,True,True,-3.1011404381180725,-2.1506852226837196,-2.625912830400896,2.625912830400896,30.72883176803589
Muxika,7,1371,80,0.40485665971084706,0.002474929019630424,0.0005547183655761807,0.9869221815337519,0.08485786696491432,0.286800014763151,True,True,0.3484509492039729,0.412642088454099,0.38054651882903595,-0.38054651882903595,25.73794412612915
Muxika,8,986,237,0.35208398735913465,0.002204236960655235,1.4192376879960844e-05,0.9454746607162334,0.22276694164961508,0.3026772397300425,True,True,0.3531262028792209,0.4159701512326732,0.38454817705594707,-0.38454817705594707,29.0495023727417
Muxika,9,924,91,0.9414692294659651,0.0017880842832104962,2.031181518440169e-05,1.0508752376102461,0.12570080719324234,0.2907835202058838,True,True,-7.929269890699416,-3.5984140313639745,-5.763841961031695,5.763841961031695,17.574572563171387
Muxika,10,1756,88,0.5903031208468947,0.07481628301005504,2.3889956483577763e-05,1.210577166347576,0.38186381956708565,0.23312200673905553,True,True,0.5356993801263819,0.6607299366955908,0.5982146584109863,-0.5982146584109863,160.9954559803009
Muxika,11,913,201,0.42081848742866523,0.058099818442841684,3.5474838695244834e-06,1.1686232461263277,0.06896670649804076,0.12889620742487262,True,True,0.47761222410560433,0.606060734920794,0.5418364795131991,-0.5418364795131991,12.72228479385376
Muxika,12,771,248,0.37687170528257025,0.004280980494490309,1.6707905042876418e-06,1.439006943343366,0.25414007721674453,0.33613136662335585,True,True,0.43696871448924557,0.5088798685509339,0.47292429152008975,-0.47292429152008975,21.090463161468506
Muxika,13,1387,108,0.46787542840898344,0.02781337798979436,3.094535197816898e-08,1.3727610828275685,0.2659485751016513,0.20561691124695292,True,True,0.48810795802198303,0.6259580952538295,0.5570330266379062,-0.5570330266379062,64.32428884506226
Muxika,14,1158,201,0.3921999869204022,0.02758061687815041,8.180968209691792e-05,0.8612583618358793,0.34708258440128004,0.19098254356276573,True,True,0.5520654452542957,0.6476726226993048,0.5998690339768002,-0.5998690339768002,58.23984432220459
Muxika,15,1744,145,0.3725340540600237,0.03575583617065801,1.9354521735319297e-08,0.9888725248023178,0.19181415713049665,0.16543289207170192,True,True,0.468672226683714,0.6188913225618009,0.5437817746227575,-0.5437817746227575,77.0333206653595
Muxika,16,1333,97,0.9543554008187672,0.0012243318405733125,6.900471949546451e-07,1.3541890916040074,0.3287883684625985,0.20937158892357785,True,True,-27.925277670181572,-5.498782872692803,-16.712030271437186,16.712030271437186,75.17825770378113
Muxika,17,1117,213,0.6452662513801525,0.012289630442771593,7.660399571646267e-06,0.8279056526565607,0.0912359345677385,0.262571308777473,True,True,0.5342475945884826,0.6362676209476394,0.585257607768061,-0.585257607768061,19.43849205970764
Muxika,18,1288,205,0.6730229828576466,0.025154217012530438,0.0002871919852344826,1.1516211663546287,0.13019277796788184,0.23906707643405609,True,True,0.5846680409444371,0.6505206258569671,0.6175943334007021,-0.6175943334007021,31.31848692893982
Muxika,19,1683,150,0.39905215634940355,0.039251587924790894,2.338474968869684e-08,1.2192920498360804,0.07894586912469778,0.4138875053787181,True,True,0.49095007974405036,0.674992162991644,0.5829711213678472,-0.5829711213678472,34.80447173118591
Muxika,20,1361,131,0.6582888920599486,0.009788810382860858,1.9211347067038387e-06,0.7615274553924354,0.3712295007268484,0.3450884391614789,True,True,0.5419400515177097,0.6248446712766808,0.5833923613971952,-0.5833923613971952,87.08540058135986
Muxika,21,1536,70,0.5184877909833407,0.0018431086020654127,3.7743948960508194e-06,1.2778265853125408,0.1360625770412221,0.36168769814244617,True,True,0.15499715982604423,0.18639515307960186,0.17069615645282304,-0.17069615645282304,44.221933364868164
Muxika,22,751,218,0.4120404181154437,0.006261043682496428,5.8510255755780636e-08,1.4579442101216158,0.2762060082177286,0.1964600227054898,True,True,0.4140032831557817,0.5341651675578961,0.4740842253568389,-0.4740842253568389,21.303134202957153
Muxika,23,1623,95,0.9806174317964003,0.0018403543867866255,2.301276136620896e-07,0.9732734487725907,0.15037241900156945,0.34459901336271004,True,True,-2235.65997080185,-93.88883229640363,-1164.7744015491267,1164.7744015491267,53.05699706077576
